name,lat,lon,address,street,housenumber,city,state,postcode,start_date,opening_date,osm_first_seen,osm_type,osm_id,resident_pop,workers_in_tract,workers_from_tract,daytime_pop
In-N-Out Burger,37.5129132,-122.2585755,,Industrial Road,445,San Carlos,CA,94070,2011-06-16,,2014-01-04,way,255297212,1621,11930,929,12622
In-N-Out Burger,33.8028518,-118.3284786,,Crenshaw Boulevard,24445,Torrance,CA,90505,1992-07-30,,2014-01-05,way,255470555,4935,22118,2236,24817
In-N-Out Burger,36.3133921,-119.3142528,,Mooney Boulevard,1933,Visalia,CA,93277,1995-06-21,,2014-01-22,way,257834013,4829,836,1870,3795
In-N-Out Burger,37.961138,-121.7477399,,Lone Tree Way,5581,Brentwood,CA,94513,2004-12-16,,2014-02-21,way,262631566,7846,3454,2784,8516
In-N-Out Burger,33.8593161,-117.7914859,,East La Palma Avenue,5646,Anaheim Hills,CA,92807,1999-08-12,,2014-03-03,way,264263470,3,18418,282,18139
In-N-Out Burger,37.5204744,-120.8817351,,Countryside Drive,3071,Turlock,CA,95380,,,2014-05-11,way,281221358,3494,2711,1315,4890
In-N-Out Burger,33.9085328,-117.5616904,,Hamner Avenue,1810,Norco,CA,92860,,,2014-05-17,way,282603870,3857,3537,1771,5623
In-N-Out Burger,37.9969522,-121.3145439,,Pacific Avenue,5202,Stockton,CA,95207,,,2014-06-11,way,287546520,5210,3014,1656,6568
In-N-Out Burger,37.9847167,-121.3455875,,West March Lane,2727,Stockton,CA,95219,1994-11-30,,2014-06-11,way,287634062,3019,2503,1211,4311
In-N-Out Burger,33.7911921,-118.1401438,,Los Coyotes Diagonal,4600,Long Beach,CA,90815,,,2014-06-30,way,290482493,5642,1778,2117,5303
In-N-Out Burger,39.723928,-121.8068025,,Business Lane,2050,Chico,CA,95928,2000-11-16,,2014-08-20,way,298977474,6487,5584,2715,9356
In-N-Out Burger,33.8610094,-118.1246668,,Bellflower Boulevard,5820,Lakewwod,CA,90712,1985-12-28,,2014-09-10,way,302694951,4871,667,2095,3443
In-N-Out Burger,34.0327131,-117.6678134,,Mountain Avenue,2235,Ontario,CA,91761,1979-10-04,,2014-10-26,way,309678759,4565,1111,2106,3570
In-N-Out Burger,37.2983896,-120.4819639,,Martin Luther King Jr Way,1579,Merced,CA,95340,1993-11-18,,2014-11-08,way,311711030,3122,4799,1112,6809
In-N-Out Burger,33.9916506,-118.4462491,,West Washington Boulevard,13425,Marina del Rey,CA,90292,1999-10-28,,2014-12-11,way,316836541,3025,2704,1561,4168
In-N-Out Burger,34.2150462,-118.4482966,,Van Nuys Boulevard,7930,Panorama City,CA,91402,1998-12-10,,2015-01-11,way,321558902,4982,2497,2369,5110
In-N-Out Burger,34.1836629,-118.914599,,Newbury Road,1550,Newbury Park,CA,91320,,,2015-02-23,way,329946373,2848,901,1280,2469
In-N-Out Burger,33.6816156,-117.6694569,,Towne Centre Drive,26482,Foothill Ranch,CA,92610,1994-07-06,,2015-03-03,way,331119874,11632,15258,5278,21612
In-N-Out Burger,34.107881,-117.1937193,,Greenspot Road,28009,Highland,CA,92346,,,2015-03-25,way,334657840,4122,3187,2076,5233
In-N-Out Burger,34.4254562,-118.5392609,,Bouquet Canyon Road,26401,Santa Clarita,CA,91350,2003-02-20,,2015-04-13,way,338232009,4532,3599,1792,6339
In-N-Out Burger,34.1520999,-118.4483336,,Van Nuys Boulevard,4444,Sherman Oaks,CA,91403,1993-07-15,,2015-04-14,way,338424686,4015,4067,2489,5593
In-N-Out Burger,34.1058926,-117.5302475,,Foothill Boulevard,12599,Rancho Cucamonga,CA,91739,1993-04-14,,2015-05-11,way,344225853,6092,5726,2016,9802
In-N-Out Burger,32.771475,-115.5526905,,4th st.,2390,El Centro,CA,92243,2007-12-13,,2015-05-13,way,344873553,7715,1812,2571,6956
In-N-Out Burger,38.2811372,-122.2762518,,West Imola Avenue,820,Napa,CA,94559,1997-10-16,,2015-05-25,way,348383240,6156,2175,2628,5703
In-N-Out Burger,33.8826378,-118.0246239,,Firestone Boulevard,14341,La Mirada,CA,90638,1995-05-31,,2015-05-31,way,350237543,5526,11176,2176,14526
In-N-Out Burger,37.7971481,-121.192503,,Yosemite Avenue,1490,Manteca,CA,95336,2005-04-12,,2015-07-16,way,360811773,3913,4306,1596,6623
In-N-Out Burger,37.7838136,-122.2772451,,Willie Stargell Avenue,555,Alameda,CA,94501,2015-05-14,,2015-07-21,way,361611704,4628,3490,2069,6049
In-N-Out Burger,34.2410659,-118.2666668,,Foothill Boulevard,6225,Tujunga,CA,91042,1975-04-09,,2015-08-18,way,366225111,4068,981,2134,2915
In-N-Out Burger,33.7585004,-118.1111761,,Pacific Coast Highway,6391,Long Beach,CA,90803,1996-04-25,,2015-12-11,way,385393259,0,940,106,834
In-N-Out Burger,34.0264562,-118.3942837,,Venice Boulevard,9245,Los Angeles,CA,90034,1989-09-06,,2016-01-13,way,391238447,2024,1100,1186,1938
In-N-Out Burger,34.194936,-118.606345,,Topanga Canyon Boulevard,6841,Canoga Park,CA,91303,2001,,2016-01-15,way,391517323,3785,741,1412,3114
In-N-Out Burger,33.1371614,-117.1771763,,West San Marcos Boulevard,583,San Marcos,CA,92078,2004-07-27,,2016-03-05,way,401771792,3942,2088,1986,4044
In-N-Out Burger,33.5452791,-117.6738281,,Camino Capistrano,28782,San Juan Capistrano,CA,92675,1982-08-24,,2016-03-05,way,401869009,5881,2672,2377,6176
In-N-Out Burger,33.1151488,-117.1018928,,West Valley Parkway,1260,Escondido,CA,92029,2010-09-30,,2016-03-06,way,401882502,2956,17793,1446,19303
In-N-Out Burger,32.9817026,-117.0775705,,Carmel Mountain Road,11880,San Diego,CA,92128,1993-08-02,,2016-03-28,way,406089695,4452,10125,2052,12525
In-N-Out Burger,32.7442148,-117.0432481,,Broadway,7160,Lemon Grove,CA,91945,1990-01-16,,2016-03-28,way,406114119,4439,3806,1749,6496
In-N-Out Burger,32.6204984,-116.96199,,Eastlake Parkway,1725,Chula Vista,CA,91915,2008-12-23,,2016-03-28,way,406115081,8302,775,3258,5819
In-N-Out Burger,33.7534195,-118.3086571,,North Western Avenue,1090,San Pedro,CA,90732,2001-06-14,,2016-04-04,way,407724220,4563,1270,2090,3743
In-N-Out Burger,33.8311352,-118.2884114,,West Carson Street,730,Torrance,CA,90502,1983-12-23,,2016-04-08,way,408796738,5880,3091,2716,6255
In-N-Out Burger,34.1475424,-118.7974812,,Russell Ranch Road,30780,Westlake Village,CA,91361,,,2016-05-11,way,417141543,6846,4208,3234,7820
In-N-Out Burger,33.9537073,-118.3967844,,South Sepulveda Boulevard,9149,Los Angeles,CA,90045,1997-01-22,,2016-05-26,way,420983393,2325,4257,1402,5180
In-N-Out Burger,37.6997987,-121.0676026,,Pelandale Avenue,3900,Modesto,CA,95356,1993-10-18,,2016-05-28,way,421511860,4726,3707,1890,6543
In-N-Out Burger,34.0982296,-118.3417145,,West Sunset Boulevard,7009,West Hollywood,CA,90028,1994-12-15,,2016-06-10,way,424024157,2473,2230,1396,3307
In-N-Out Burger,34.0630975,-118.448044,,Gayley Avenue,922,Los Angeles,CA,90024,1997-04-01,,2016-06-15,way,425181723,1415,3986,442,4959
In-N-Out Burger,37.779131,-121.9770229,,San Ramon Valley Boulevard,2270,San Ramon,CA,94583,1997-02-27,,2016-06-30,way,428154937,5493,5041,2810,7724
In-N-Out Burger,34.1486719,-118.2273608,,North Harvey Drive,310,Glendale,CA,91206,2001-11-15 T00:00:00,,2016-06-30,way,428156104,5332,4775,2357,7750
In-N-Out Burger,34.135079,-118.3606104,,Cahuenga Boulevard West,3640,Los Angeles,CA,90068,1995-12-27,,2016-07-08,way,429854823,3485,40495,2274,41706
