name,lat,lon,address,street,housenumber,city,state,postcode,start_date,opening_date,osm_first_seen,osm_type,osm_id,median_income
In-N-Out Burger,34.1475424,-118.7974812,,Russell Ranch Road,30780,Westlake Village,CA,91361,,,2016-05-11,way,417141543,154288
In-N-Out Burger,33.9537073,-118.3967844,,South Sepulveda Boulevard,9149,Los Angeles,CA,90045,1997-01-22,,2016-05-26,way,420983393,106563
In-N-Out Burger,37.6997987,-121.0676026,,Pelandale Avenue,3900,Modesto,CA,95356,1993-10-18,,2016-05-28,way,421511860,75898
In-N-Out Burger,34.0982296,-118.3417145,,West Sunset Boulevard,7009,West Hollywood,CA,90028,1994-12-15,,2016-06-10,way,424024157,76037
In-N-Out Burger,34.0630975,-118.448044,,Gayley Avenue,922,Los Angeles,CA,90024,1997-04-01,,2016-06-15,way,425181723,0
In-N-Out Burger,37.779131,-121.9770229,,San Ramon Valley Boulevard,2270,San Ramon,CA,94583,1997-02-27,,2016-06-30,way,428154937,163667
In-N-Out Burger,34.1486719,-118.2273608,,North Harvey Drive,310,Glendale,CA,91206,2001-11-15 T00:00:00,,2016-06-30,way,428156104,118389
In-N-Out Burger,34.135079,-118.3606104,,Cahuenga Boulevard West,3640,Los Angeles,CA,90068,1995-12-27,,2016-07-08,way,429854823,142717
In-N-Out Burger,34.177449,-118.3819185,,Lankershim Boulevard,5864,North Hollywood,CA,91601,1971-05-10,,2016-07-08,way,429881201,67131
In-N-Out Burger,34.2018637,-118.5007105,,Balboa Boulevard,7220,Van Nuys,CA,91406,2005,,2016-07-13,way,430679702,68548
In-N-Out Burger,34.2500159,-118.5019562,,Balboa Boulevard,9858,Northridge,CA,91325,1984-12-26,,2016-07-13,way,430680955,119311
In-N-Out Burger,34.2308046,-118.5531275,,Tampa Avenue,8830,Northridge,CA,91324,2007,,2016-07-13,way,430780243,76250
In-N-Out Burger,34.2779754,-118.4530792,,Laurel Canyon Boulevard,11455,San Fernando,CA,91340,1973-06-02,,2016-07-14,way,430964752,62500
In-N-Out Burger,34.1719759,-118.5666512,,Ventura Boulevard,19920,Woodland Hills,CA,91364,1976-02-08,,2016-07-16,way,431341736,112800
In-N-Out Burger,34.2219426,-118.4307836,,Roscoe Boulevard,13651,Panorama City,CA,91402,1972-03-10,,2016-07-18,way,431632724,68491
In-N-Out Burger,33.6425793,-117.6052232,,Santa Margarita Parkway,30121,Rancho Santa Margarita,CA,92688,,,2016-07-27,way,433664987,151500
In-N-Out Burger,37.6994023,-121.7732688,,North Livermore Avenue,1881,Livermore,CA,94550,2001-02-15,,2016-08-13,way,436989669,113639
In-N-Out Burger,38.7203717,-120.8331392,,Forni Road,3055,Placerville,CA,95667,1999-09-30,,2016-08-16,way,437474002,71014
In-N-Out Burger,37.7618715,-121.4338024,,Clover Road,575,Tracy,CA,95376,1994-06-01,,2016-08-16,way,437474226,58765
In-N-Out Burger,36.3212857,-119.6735995,,South 12th Avenue,280,Hanford,CA,93230,2013-12-19,,2016-08-16,way,437482255,89614
In-N-Out Burger,33.8248697,-117.9584946,,South Brookhurst Street,600,Anaheim,CA,92804,1980-12-03,,2016-08-16,way,437482562,78631
In-N-Out Burger,33.8120393,-118.1833165,,East Spring Street,799,Signal Hill,CA,90755,,,2016-09-06,way,441031912,71969
In-N-Out Burger,33.8488503,-118.3531603,,Hawthorne Boulevard,20150,Torrance,CA,90504,2012,,2016-09-15,way,442634074,157314
In-N-Out Burger,36.6056964,-121.8581583,,Del Monte Boulevard,1315,Seaside,CA,93955,2016-02-22,,2016-09-26,way,444359029,83735
In-N-Out Burger,33.9012228,-118.0823257,,Pioneer Boulevard,14330,Norwalk,CA,90650,1974-02-18,,2016-10-31,way,450373197,106818
In-N-Out Burger,34.0005364,-118.0830682,,Whittier Boulevard,9070,Pico Rivera,CA,90660,1988-05-13,,2016-11-03,way,451218105,50469
In-N-Out Burger,33.9527632,-118.1882999,,Firestone Boulevard,4601,South Gate,CA,90280,,,2016-11-04,way,451382978,41800
In-N-Out Burger,33.9870186,-118.2248363,,Pacific Boulevard,6000,Huntington Park,CA,90255,1992-04-23,,2016-11-04,way,451389917,41724
In-N-Out Burger,33.9396311,-118.0468462,,Carmenita,10525,Santa Fe Springs,CA,90670,1987-10-21,,2016-11-25,way,455831224,63542
In-N-Out Burger,33.9360892,-118.1242637,,Firestone Boulevard,8767,Downey,CA,90241,1996-03-05,,2016-11-29,way,456599147,81578
In-N-Out Burger,33.9213836,-116.8036214,,Seminole Drive,49188,Cabazon,CA,92230,,,2016-11-29,way,456656007,77875
In-N-Out Burger,34.4704723,-117.2909575,,Bear Valley Road,17069,Hesperia,CA,92392,,,2016-12-24,way,461501761,60568
In-N-Out Burger,33.8472944,-118.028126,,Valley View Street,7926,Buena Park,CA,90620,1986-09-25,,2016-12-24,way,461502757,117241
In-N-Out Burger,36.7961312,-119.7899153,,North Blackstone Avenue,4302,Fresno,CA,93726,1992-12-18,,2016-12-24,way,461503624,70837
In-N-Out Burger,38.3612473,-122.7142375,,Redwood Drive,5145,Rohnert Park,CA,94928,1996-03-27,,2016-12-24,way,461577733,75781
In-N-Out Burger,33.0473003,-117.2850115,,Calle Magdalena,130,Encinitas,CA,92024,2014-05-22,,2016-12-24,way,461578895,114167
In-N-Out Burger,38.6146071,-121.2689742,,Sunrise Boulevard,2475,Rancho Cordova,CA,95670,1997-06-03,,2016-12-24,way,461586687,65625
In-N-Out Burger,34.1131375,-117.7656435,,Foothill Boulevard,2098,La Verne,CA,91750,1952-09-18,,2016-12-26,way,461966334,82878
In-N-Out Burger,34.1344181,-117.3699886,,East Easton Street,108,Rialto,CA,92376,,,2016-12-27,way,462163094,96250
In-N-Out Burger,33.8816816,-117.6135375,,Auto Center Drive,450,Corona,CA,92882,2011-10-11,,2016-12-28,way,462244172,68886
In-N-Out Burger,33.5732519,-117.1789859,,Avenida Acacias,39697,Murrieta,CA,92563,2007-12-20,,2016-12-28,way,462245406,117037
In-N-Out Burger,40.5853295,-122.3477982,,Dana Drive,1275,Redding,CA,96003,1999-06-25,,2017-01-14,way,465842430,69236
In-N-Out Burger,34.1072482,-117.6862484,,West Foothill Boulevard,1837,Upland,CA,91786,1987-04-06,,2017-01-21,way,467629115,86780
In-N-Out Burger,34.025802,-117.7494664,,South Garey Avenue,2505,Pomona,CA,91766,1984-08-16,,2017-01-30,way,470330746,83279
In-N-Out Burger,34.0779201,-117.7195859,,Indian Hill Boulevard,1851,Pomona,CA,91767,1971-05-10,,2017-01-30,way,470336050,65800
In-N-Out Burger,34.0676607,-117.9735077,,Francisquito Avenue,13850,Baldwin Park,CA,91706,1948-10-22,,2017-01-31,way,470628829,79875
In-N-Out Burger,34.0194144,-117.9872983,,East Gale,14620,Hacienda Heights,CA,91745,1972-07-24,,2017-01-31,way,470811969,87850
In-N-Out Burger,34.0924375,-118.0384294,,Lower Azusa Road,10601,Temple City,CA,91780,1973-08-27,,2017-02-01,way,470953739,115944
In-N-Out Burger,34.0714203,-117.8819029,,East Garvey Avenue South,2940,West Covina,CA,91791,1990-12-22,,2017-02-01,way,470966235,97324
In-N-Out Burger,34.0376509,-117.9516606,,Amar Road,15259,La Puente,CA,91744,1968-05-01,,2017-02-01,way,471011152,68796
In-N-Out Burger,34.1176297,-117.9073672,,South Azusa Avenue,324,Azusa,CA,91702,1966-08-01,,2017-02-01,way,471072562,83523
In-N-Out Burger,34.0897086,-117.94086,,West San Bernardino Road,15610,West Covina,CA,91722,1962-07-03,,2017-02-01,way,471139077,107411
In-N-Out Burger,34.0005018,-117.8434543,,Golden Springs Drive,21133,Diamond Bar,CA,91765,1974-06-30,,2017-02-01,way,471230285,91985
In-N-Out Burger,34.0839232,-118.0730362,,North Rosemead Boulevard,4242,Rosemead,CA,91770,1978-12-21 T00:00:00,,2017-02-02,way,471408324,81875
In-N-Out Burger,34.3771286,-118.5654074,,The Old Road,2522,Newhall,CA,91381,1989-05-18,,2017-02-06,way,472566670,131750
