name,lat,lon,address,street,housenumber,city,state,postcode,start_date,opening_date,osm_first_seen,osm_type,osm_id,dist_to_nearest_prior_km
In-N-Out Burger,37.896617,-122.5154846,,Redwood Highway,798,Mill Valley,CA,94941,1999-12-16,,2017-02-25,way,477136050,20.687
In-N-Out Burger,37.2489967,-121.8593748,,Santa Teresa Boulevard,5611,San Jose,CA,95123,2000-01-26,,2012-11-14,way,190815251,19.223
In-N-Out Burger,34.0683563,-117.5571559,,Ontario Mills Parkway,4310,Ontario,CA,91764,2000-07-18,,2009-10-05,way,42018503,4.854
In-N-Out Burger,35.3545142,-119.057977,,Stockdale Highway,5100,Bakersfield,CA,93309,2000-10-02,,2010-05-20,way,59733392,6.999
In-N-Out Burger,39.723928,-121.8068025,,Business Lane,2050,Chico,CA,95928,2000-11-16,,2014-08-20,way,298977474,106.246
In-N-Out Burger,34.194936,-118.606345,,Topanga Canyon Boulevard,6841,Canoga Park,CA,91303,2001,,2016-01-15,way,391517323,4.455
In-N-Out Burger,37.6994023,-121.7732688,,North Livermore Avenue,1881,Livermore,CA,94550,2001-02-15,,2016-08-13,way,436989669,11.821
In-N-Out Burger,33.7534195,-118.3086571,,North Western Avenue,1090,San Pedro,CA,90732,2001-06-14,,2016-04-04,way,407724220,5.794
In-N-Out Burger,37.3804081,-122.0740362,,West El Camino Real,53,Mountain View,CA,94040,2001-07-12,,2009-02-08,way,30906534,4.821
In-N-Out Burger,37.8077668,-122.4184666,,Jefferson Street,333,San Francisco,CA,94133,2001-09-20,,2009-07-06,node,434874627,13.045
In-N-Out Burger,34.1486719,-118.2273608,,North Harvey Drive,310,Glendale,CA,91206,2001-11-15 T00:00:00,,2016-06-30,way,428156104,9.107
In-N-Out Burger,37.3300763,-121.8113032,,East Capitol Expressway,2950,San Jose,CA,95148,2001-12-06,,2020-02-09,way,771076212,9.968
In-N-Out Burger,33.9457806,-118.3323416,,West Century Boulevard,3411,Inglewood,CA,90301,2002,,2013-06-22,way,226827367,6.009
