source_ino_city,source_ino_lat,source_ino_lon,source_ino_date,name,lat,lon,city,street,housenumber,postcode,competitor_created,distance_km
Escondido,33.1151488,-117.1018928,2010-09-30,McDonald's,33.1169639,-117.0972476,Escondido,West Valley Parkway,1050,92025,2011-01-17,0.477
Escondido,33.1151488,-117.1018928,2010-09-30,Alberto's Mexican Food,33.1265264,-117.0887619,,North Escondido Boulevard,623,,2011-01-13,1.76
Arroyo Grande,35.1272716,-120.5979057,2010-11-16,King Falafel,34.9630925,-120.4354886,,,,,2011-03-10,23.492
Arroyo Grande,35.1272716,-120.5979057,2010-11-16,Patricio's Pizza,34.8643561,-120.4471046,Orcutt,South Broadway Street,156,93455,2011-03-08,32.301
Arroyo Grande,35.1272716,-120.5979057,2010-11-16,Charlie's Burgers Plus/King Falafel,34.8647789,-120.4441439,,,,,2011-03-08,32.374
Arroyo Grande,35.1272716,-120.5979057,2010-11-16,Jack in the Box,34.8645775,-120.4357493,Orcutt,Orcutt Road,5001,93455,2011-03-09,32.732
Arroyo Grande,35.1272716,-120.5979057,2010-11-16,Ricky's House of Pizza,34.8655193,-120.4199459,,,,,2011-05-23,33.315
Costa Mesa,33.6877545,-117.919892,2010-12-17,Jack in the Box,33.6798927,-117.9085501,Costa Mesa,Baker Street,1201,92626,2011-08-22,1.366
Costa Mesa,33.6877545,-117.919892,2010-12-17,Del Taco,33.6797916,-117.9059816,Costa Mesa,Baker Street,1155,92626,2011-08-21,1.562
Costa Mesa,33.6877545,-117.919892,2010-12-17,El Pollo Loco,33.6796721,-117.8853457,Costa Mesa,Bristol Street,2990,92626,2011-08-22,3.32
Costa Mesa,33.6877545,-117.919892,2010-12-17,TK Burger,33.6789981,-117.8854405,Costa Mesa,Bristol Street,2966,92626,2011-08-22,3.333
Costa Mesa,33.6877545,-117.919892,2010-12-17,Del Taco,33.6787442,-117.885473,Costa Mesa,Bristol Street,2956,92626,2011-08-22,3.339
Poway,32.9389329,-117.0464915,2011-02-21,Dosa i Place,32.8959876,-117.1241459,,,,,2011-04-23,8.68
Poway,32.9389329,-117.0464915,2011-02-21,Unknown,32.8956883,-117.1244388,,,,,2011-04-23,8.721
Poway,32.9389329,-117.0464915,2011-02-21,Kotija Jr. Taco Shop,32.906715,-117.1744459,,,,,2011-09-18,12.469
Poway,32.9389329,-117.0464915,2011-02-21,KFC,32.8555994,-116.9321208,Lakeside,Woodside Avenue,12061,92040,2011-07-01,14.138
Poway,32.9389329,-117.0464915,2011-02-21,McDonald's,32.8528881,-116.9314949,Lakeside,Winter Gardens Boulevard,9614,92040,2011-07-01,14.381
Petaluma,38.2345829,-122.6208645,2011-03-31,Jack in the Box,38.3487854,-122.7100078,Rohnert Park,Commerce Boulevard,6299,94928,2011-11-20,14.892
Petaluma,38.2345829,-122.6208645,2011-03-31,Burger King,38.3495506,-122.7100686,Rohnert Park,Commerce Boulevard,6255,94928-2103,2011-11-20,14.968
Petaluma,38.2345829,-122.6208645,2011-03-31,Carl's Jr.,38.3466581,-122.7161784,Rohnert Park,Redwood Drive,6460,94928,2011-10-04,14.983
Petaluma,38.2345829,-122.6208645,2011-03-31,Chipotle,37.9958013,-122.286104,Pinole,Pinole Valley Road,2696,94564,2011-06-12,39.531
Petaluma,38.2345829,-122.6208645,2011-03-31,Jack in the Box,37.996298,-122.2853075,Pinole,Pinole Valley Road,2689,94564,2011-06-12,39.545
San Carlos,37.5129132,-122.2585755,2011-06-16,Jamba,37.5023671,-122.245983,San Carlos,Industrial Road,1135,94070,2011-06-19,1.615
San Carlos,37.5129132,-122.2585755,2011-06-16,Wingstop,37.5022436,-122.2461413,San Carlos,Industrial Road,1135,94070,2011-06-19,1.616
San Carlos,37.5129132,-122.2585755,2011-06-16,Chipotle,37.502146,-122.246272,San Carlos,Industrial Road,1135,94070,2011-06-19,1.616
San Carlos,37.5129132,-122.2585755,2011-06-16,L&L Hawaiian Barbecue,37.4912247,-122.2246065,Redwood City,Walnut Street,324,94063,2011-07-09,3.846
